designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,gal_l,gal_b,w34_yso_flag
J142311.25+434517.3,215.7968799,43.7548148,14.548,12.55,8.394,5.977,0.029,0.023,0.02,0.04,38.0,46.9,54.2,26.8,183.0,34.0,AAAA,1.9980001,8.394,14.548,1782.2,3.2384193,2.4001582,0.20066854,13.516163,0,0,1.0336299,-2.5721111,-0.8128666,10.169134,0,1,0.7009531,-2.5793343,-1.1813772,8.505751,1,1,1,1,0,4,27.032325744628903,186.1316738225926,37.83444365282913,0,999.9,80.88964184930528,65.14319197038125,True
J041130.33-584133.2,62.8763783,-58.6925637,14.951,12.878,8.655,6.101,0.027,0.023,0.021,0.035,39.9,47.1,51.2,31.4,-15.0,-23.0,AAAA,2.073,8.655,14.951,1879.29,3.3938782,2.1477559,-0.04078142,13.362488,0,0,1.2775617,-2.1999598,-0.47604188,10.642539,0,0,0.950499,-2.2218165,-0.8104177,9.007225,1,1,1,1,0,4,26.7249755859375,27.459060435491963,37.80515046386719,0,999.9,269.71890243953715,-43.373437140505715,True
J114118.29+083242.3,175.3262113,8.5451039,14.101,12.076,8.741,6.504,0.029,0.023,0.026,0.07,38.0,47.3,41.9,15.6,301.0,285.0,AAAA,2.0249996,8.741,14.101,1797.4,3.2943835,2.0645883,0.46848068,13.448513,0,0,1.1214439,-2.0773344,-1.1864668,10.204877,0,1,0.7907881,-2.104013,-1.592839,8.551599,1,1,1,1,0,4,26.89702606201172,414.5189983583382,37.790319465364384,0,999.9,257.91426752967595,65.09051100861333,True
J030619.54-571254.6,46.5814329,-57.215184,16.007,13.68,9.637,6.636,0.042,0.029,0.034,0.051,26.0,37.9,31.6,21.2,62.0,-269.0,AAAA,2.3269997,9.637,16.007,985.4,3.9203672,1.1981032,-0.67346424,12.884792,0,0,2.1036787,-0.79975593,0.40655607,12.241137,0,0,1.7956289,-0.87667084,0.16162495,10.700888,1,1,1,1,0,4,25.76958465576172,276.05253123273474,37.762747808378144,0,999.9,273.9560115633318,-51.64484371840249,True
J034938.52+761657.3,57.4105121,76.2825841,14.289,12.258,8.705,5.621,0.028,0.022,0.024,0.037,38.9,49.7,45.1,29.7,117.0,362.0,AAAA,2.0309992,8.705,14.289,1933.33,3.3068194,2.0994027,0.35584408,13.425406,0,0,1.140957,-2.128666,-1.0293379,10.259435,0,1,0.81075037,-2.153326,-1.4197862,8.608402,1,1,1,1,0,4,26.850812911987305,380.43790557724395,37.75760882070648,0,999.9,132.95079646050362,17.012541899653446,True
J203802.72-685018.2,309.5113502,-68.8384116,14.919,12.839,8.719,6.26,0.034,0.026,0.029,0.054,32.1,42.5,37.8,20.3,-75.0,-148.0,AAAA,2.08,8.719,14.919,1364.25,3.408388,2.085864,-0.021608885,13.332351,0,0,1.3003286,-2.1087039,-0.5027877,10.651762,0,0,0.9737899,-2.134149,-0.8398741,9.019069,1,1,1,1,0,4,26.664701461791992,165.91865476793137,37.75721726989746,0,999.9,326.03989407579706,-34.705149380690905,True
J032320.11-461320.2,50.8338145,-46.2223009,16.47,14.085,9.776,7.484,0.053,0.034,0.037,0.102,20.7,32.1,29.7,10.6,42.0,36.0,AAAA,2.3849993,9.776,16.47,664.47,4.0405884,1.063682,-0.95086175,12.766426,0,0,2.2923186,-0.60156024,0.79352796,12.638095,0,0,1.9886101,-0.6862685,0.5878136,11.119553,1,1,1,1,0,4,25.53285217285156,55.31726674375732,37.71201908470245,0,999.9,255.71019243438877,-54.5498511202328,True
J203608.25+511608.7,309.0343765,51.2691071,14.021,11.93,9.163,6.686,0.05,0.023,0.025,0.058,21.7,46.9,43.2,18.7,130.0,-859.0,AAAA,2.0909996,9.163,14.021,1017.73,3.4311879,1.6564894,0.5164111,13.294708,0,0,1.3361044,-1.4756178,-1.2533302,10.509912,0,1,1.010389,-1.5259567,-1.6664785,8.881334,1,1,1,1,0,4,26.58941650390625,868.7813303703067,37.70910835868652,0,999.9,88.53406721010809,6.320144812678579,True
J135405.13+465322.4,208.5213898,46.8895603,14.736,12.674,8.708,6.657,0.029,0.024,0.024,0.066,37.4,44.5,46.1,16.4,245.0,259.0,AAAA,2.0620003,8.708,14.736,1664.3,3.3710783,2.0965014,0.08803196,13.346018,0,0,1.241786,-2.124388,-0.65573764,10.4899645,0,1,0.9138999,-2.1492164,-1.0083244,8.850534,1,1,1,1,0,4,26.692035675048828,356.5192841909116,37.6998327889611,0,999.9,95.11508515139694,66.7116538091958,True
J093537.61+293152.8,143.90674,29.5313427,15.272,13.14,8.889,6.84,0.038,0.03,0.03,0.079,28.3,36.5,36.5,13.8,431.0,105.0,AAAA,2.132,8.889,15.272,1032.95,3.5161731,1.9214638,-0.23310272,13.197612,0,0,1.4694554,-1.8663061,-0.20775202,10.957102,0,1,1.146809,-1.9012827,-0.5149387,9.34387,1,1,1,1,0,4,26.39522361755371,443.60568075713365,37.650146968078616,0,999.9,197.74360691303838,47.160911799741775,True
J010122.38-694400.6,15.3432565,-69.7335157,14.681,12.469,9.577,7.335,0.028,0.022,0.032,0.09,38.9,49.5,34.1,12.0,229.0,-97.0,AAAA,2.212,9.577,14.681,1925.55,3.6819966,1.2561271,0.12098438,13.051165,0,0,1.7296497,-0.8853086,-0.7017065,11.281487,0,0,1.4129916,-0.95885956,-1.0589519,9.698196,1,1,1,1,0,4,26.10232925415039,248.69660230891776,37.64999971618653,0,999.9,301.66187885628693,-47.37022930554023,True
J034928.43-672439.4,57.3684837,-67.4109501,16.581,13.976,10.946,7.78,0.052,0.03,0.066,0.108,21.0,35.6,16.4,10.0,616.0,-150.0,AAAA,2.6049995,10.946,16.581,747.6,4.4966035,-0.0677778,-1.0173655,12.370779,0,0,3.0078547,1.0667065,0.88630116,13.886353,0,0,2.7206142,0.9163994,0.6899887,12.4501505,1,1,1,1,0,4,24.74155807495117,634.0,37.63190735784492,0,999.9,281.8031990076458,-41.66678420075153,True
J113050.33+320937.7,172.7097481,32.1604894,15.045,12.916,8.98,6.6,0.036,0.027,0.03,0.076,30.3,39.9,36.4,14.4,188.0,337.0,AAAA,2.1289997,8.98,15.045,1208.97,3.5099542,1.8334618,-0.09709971,13.182956,0,0,1.4596971,-1.7365526,-0.3974774,10.86831,0,1,1.1368263,-1.7766312,-0.7238913,9.253956,1,1,1,1,0,4,26.36591148376465,385.8924720696168,37.59251501159695,0,999.9,192.03468686072512,71.81106775439905,True
J031243.59-453522.6,48.1816468,-45.5896295,15.747,13.504,9.324,7.214,0.039,0.028,0.03,0.081,27.9,38.2,35.6,13.3,107.0,-26.0,AAAA,2.243,9.324,15.747,1065.78,3.7462535,1.5007925,-0.5176899,12.972259,0,0,1.8304756,-1.2460525,0.18924952,11.636273,0,0,1.516138,-1.3054184,-0.077704005,10.064586,1,1,1,1,0,4,25.94451713562012,110.11357772772621,37.58322752265931,0,999.9,255.78836808270927,-56.500146147253304,True
J220202.16+672405.0,330.5090396,67.4013914,15.601,13.428,8.998,6.687,0.035,0.028,0.023,0.049,31.4,39.1,48.2,22.2,221.0,12.0,AAAA,2.1729994,8.998,15.601,1227.74,3.6011565,1.8160541,-0.43021673,13.097334,0,0,1.6028031,-1.7108861,0.06722371,11.215907,0,1,1.2832258,-1.751974,-0.21209621,9.61802,1,1,1,1,0,4,26.19466781616211,221.32555207205516,37.57886730570602,0,999.9,107.70675447826079,9.684534826474328,True
J023907.73-454830.6,39.7822282,-45.8085146,16.199,13.894,9.482,7.28,0.05,0.033,0.032,0.1,21.8,32.9,33.8,10.9,-103.0,-286.0,AAAA,2.3049994,9.482,16.199,717.22,3.8747652,1.3479971,-0.78849715,12.857794,0,0,2.0321243,-1.0207652,0.567028,12.068119,0,0,1.7224275,-1.0889897,0.3383595,10.519635,1,1,1,1,0,4,25.7155876159668,303.9819073563425,37.57047042105698,0,999.9,261.2713563462466,-61.652401402333716,True
J172800.89+105240.0,262.003747,10.8777883,14.502,12.429,8.902,7.111,0.031,0.025,0.027,0.103,35.5,43.7,40.0,10.6,-130.0,-157.0,AAAA,2.073,8.902,14.502,1551.35,3.3938782,1.9088916,0.22822888,13.273201,0,0,1.2775617,-1.8477691,-0.85131353,10.43382,0,1,0.950499,-1.8834746,-1.2237204,8.798507,1,1,1,1,0,4,26.546401977539062,203.83571816538927,37.55254023742676,0,999.9,33.46467884213263,23.403738004012318,True
J111754.41+713345.3,169.4767465,71.5625917,15.229,13.082,9.014,6.743,0.031,0.024,0.025,0.06,35.3,44.9,42.9,18.1,418.0,-19.0,AAAA,2.1470003,9.014,15.229,1584.9699999999998,3.5472658,1.8005813,-0.20733993,13.135328,0,0,1.518243,-1.6880724,-0.24369133,10.985037,0,1,1.1967194,-1.7300575,-0.5545202,9.377419,1,1,1,1,0,4,26.27065658569336,418.43159536535956,37.55127809982949,0,999.9,132.9307169296763,43.70431593169754,True
J161337.43+425139.6,243.4059705,42.8610181,15.778,13.449,9.798,7.178,0.041,0.028,0.032,0.07,26.7,39.2,34.1,15.4,-212.0,-62.0,AAAA,2.3289995,9.798,15.778,1046.64,3.9245126,1.0424063,-0.53626305,12.800883,0,0,2.110183,-0.57019067,0.21515924,12.099463,0,1,1.8022829,-0.65613246,-0.049168527,10.559964,1,1,1,1,0,4,25.60176658630371,220.8800579500105,37.52706690202732,0,999.9,67.70654459707725,46.445382753998956,True
J182938.52+325442.2,277.4105041,32.9117363,14.564,12.526,8.688,6.709,0.031,0.024,0.023,0.066,34.9,45.7,46.5,16.5,-111.0,-992.0,AAAA,2.038,8.688,14.564,1594.93,3.3213308,2.115843,0.19108255,13.328839,0,0,1.163727,-2.152906,-0.7994941,10.241405,0,1,0.83404446,-2.176613,-1.1666495,8.592992,1,1,1,1,0,4,26.657678604125977,998.190863512585,37.523348403167724,0,999.9,61.08476670710381,18.584700549232142,True
J211714.84-032319.0,319.311839,-3.3886367,15.244,13.008,9.508,6.527,0.04,0.028,0.046,0.07,27.0,38.6,23.5,15.5,-194.0,-503.0,AAAA,2.236,9.508,15.244,1042.2,3.7317438,1.3228536,-0.21632712,12.963185,0,0,1.8077086,-0.9836926,-0.23115413,11.467923,0,1,1.4928471,-1.0533749,-0.5407124,9.893616,1,1,1,1,0,4,25.92637062072754,539.1150155579048,37.5206435623169,0,999.9,48.111321215320466,-33.69818524616173,True
J193938.97-725244.8,294.9124007,-72.8791126,15.836,13.63,9.099,6.731,0.051,0.032,0.033,0.079,21.4,34.2,33.0,13.8,74.0,-303.0,AAAA,2.2060003,9.099,15.836,731.88,3.6695607,1.7183813,-0.57101303,13.015241,0,0,1.7101365,-1.5668736,0.26363572,11.416432,0,0,1.3930293,-1.6136242,0.0042207153,9.830895,1,1,1,1,0,4,26.030481338500977,311.9054343867705,37.51513126687649,0,999.9,322.2230621467086,-29.372615877889302,True
J134617.18-300800.5,206.5716134,-30.1334804,16.304,14.072,9.05,6.602,0.059,0.045,0.029,0.067,18.4,24.1,37.1,16.3,-482.0,-204.0,AAAA,2.2320013,9.05,16.304,443.44,3.7234554,1.765767,-0.8514069,12.967609,0,0,1.7947029,-1.6367408,0.65478754,11.653642,0,0,1.479542,-1.6807443,0.43501285,10.077837,1,1,1,1,0,4,25.93521881103516,523.3927779402387,37.51270723143814,0,999.9,316.807683905384,31.256120591425827,True
J113549.61+835124.6,173.956711,83.856843,16.906,14.519,9.654,7.561,0.07,0.04,0.038,0.1,15.5,26.9,28.7,10.9,523.0,-178.0,AAAA,2.387,9.654,16.906,416.95,4.044736,1.1816629,-1.2120837,12.694618,0,0,2.298826,-0.77551585,1.1579348,12.645372,0,1,1.9952674,-0.85338396,0.9891503,11.12758,1,1,1,1,0,4,25.389236450195312,552.4608583420187,37.51005793151855,0,999.9,125.29890379071796,32.92012599533965,True
J173051.86-551952.9,262.7161023,-55.3313859,14.301,12.135,9.513,7.187,0.03,0.026,0.036,0.086,35.7,41.6,30.0,12.6,-191.0,-336.0,AAAA,2.1659994,9.513,14.301,1485.12,3.586647,1.318019,0.34865445,13.085625,0,0,1.5800362,-0.97656447,-1.0193082,10.884873,0,0,1.2599349,-1.046527,-1.4087402,9.284368,1,1,1,1,0,4,26.17124938964844,386.4932082197564,37.50863148469422,0,999.9,335.965235376627,-11.577226769773343,True
J070309.70-333124.8,105.7904267,-33.5235725,13.88,11.932,8.47,6.683,0.026,0.021,0.021,0.089,42.0,51.8,51.9,12.2,323.0,460.0,AAAA,1.948,8.47,13.88,2175.6,3.1347792,2.3266613,0.60088855,13.495218,0,0,0.8710076,-2.4637446,-1.371177,9.609249,0,0,0.53458816,-2.475229,-1.7962682,7.927152,1,1,1,1,0,4,26.99043655395508,562.0756176885811,37.50591063537598,0,999.9,244.47000345615947,-12.350605042245071,True
J091207.70+295011.9,138.0321094,29.836664,12.375,10.645,7.868,6.262,0.024,0.021,0.021,0.058,44.9,52.8,52.1,18.8,220.0,246.0,AAAA,1.7299995,7.868,12.375,2370.72,2.6829093,2.9088316,1.5025817,13.914557,0,0,0.16197594,-3.322118,-2.6290467,8.130125,0,1,-0.19076172,-3.29985,-3.1816134,6.366436,1,1,1,1,0,4,27.82911491394043,330.0242415338607,37.45798589125233,0,999.9,196.0678332238554,42.18911238815598,True
J152010.51-093312.1,230.043816,-9.5533639,13.894,11.956,8.423,6.975,0.027,0.022,0.026,0.099,39.6,48.3,41.3,10.9,-181.0,-232.0,AAAA,1.9379997,8.423,13.894,1912.68,3.1140506,2.3721132,0.59250075,13.492823,0,0,0.83848256,-2.5307605,-1.359476,9.52914,0,1,0.5013145,-2.5396097,-1.7833813,7.8433,1,1,1,1,0,4,26.985645294189453,294.25329225006135,37.44527979107856,0,999.9,352.60367052676213,38.57494828171193,True
J094157.89+222648.6,145.4912126,22.4468354,14.752,12.524,9.687,7.183,0.033,0.025,0.046,0.097,32.8,43.2,23.7,11.2,97.0,340.0,AAAA,2.2279997,9.687,14.752,1416.96,3.7151608,1.14975,0.07844598,12.948554,0,0,1.781688,-0.7284622,-0.6423651,11.286386,0,1,1.4662275,-0.8081805,-0.9935966,9.7090845,1,1,1,1,0,4,25.89710807800293,353.5661182862408,37.43685788373455,0,999.9,208.35878688910458,46.98802223973489,True
J041947.63-035336.9,64.9484753,-3.8935878,15.048,12.991,8.623,6.199,0.034,0.026,0.026,0.051,32.4,42.0,41.8,21.5,-12.0,412.0,AAAA,2.0570002,8.623,15.048,1360.8,3.360714,2.1787014,-0.098897256,13.251297,0,0,1.2255235,-2.2455869,-0.3949698,10.386123,0,1,0.8972631,-2.2656496,-0.7211296,8.744822,1,1,1,1,0,4,26.502593994140625,412.1747202340289,37.40576222343384,0,999.9,197.3779713902397,-35.207700405712266,True
