designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,gal_l,gal_b,w34_yso_flag
J194522.53+391503.7,296.3438829,39.2510402,14.442,12.37,8.659,7.24,0.03,0.025,0.021,0.084,36.1,43.9,52.3,13.0,-168.0,-330.0,AAAA,2.0720005,8.659,14.442,1584.79,3.3918066,2.143887,0.26417646,13.655427,0,0,1.2743111,-2.1942554,-0.9014607,10.923506,0,1,0.94717354,-2.2163365,-1.2789496,9.287818,1,1,1,1,0,4,27.310853958129883,370.30257898102735,38.6284745694643,0,999.9,73.53287863957361,7.342712279486888,True
J223424.57+502804.1,338.6024166,50.4678056,15.775,13.477,9.369,7.161,0.094,0.036,0.032,0.094,11.6,30.3,34.0,11.6,259.0,55.0,AAAA,2.2979994,9.369,15.775,351.48,3.8602557,1.4572748,-0.5344655,13.232213,0,0,2.0093572,-1.1818883,0.21265163,12.42687,0,1,1.6991366,-1.2437772,-0.05193025,10.875767,1,1,1,1,0,4,26.46442604064941,264.7753764986465,38.627473073200754,0,999.9,101.78538869710901,-6.691790544225233,True
J140008.40-112501.4,210.0350115,-11.4170824,16.093,13.777,9.339,6.831,0.056,0.038,0.036,0.077,19.4,28.7,30.3,14.1,66.0,452.0,AAAA,2.316,9.339,16.093,556.78,3.8975673,1.4862872,-0.72498983,13.197143,0,0,2.067903,-1.2246653,0.47843468,12.5871,0,1,1.7590297,-1.2848722,0.24078795,11.042733,1,1,1,1,0,4,26.394285202026367,456.7931698263449,38.62011810760498,0,999.9,328.56676727142843,48.00569220856397,True
J152850.98+560629.7,232.2124477,56.1082748,14.215,12.244,8.187,5.753,0.026,0.021,0.017,0.032,42.4,50.8,63.6,33.9,13.0,54.0,AAAA,1.9709997,8.187,14.215,2153.92,3.182453,2.6003392,0.40017948,13.848047,0,0,0.9458128,-2.8672657,-1.091186,10.329923,0,1,0.611115,-2.8628829,-1.4879023,8.656433,1,1,1,1,0,4,27.696094512939453,55.54277630799526,38.61389330817452,0,999.9,89.82013124502355,49.66378797491128,True
J055248.81+712943.6,88.2033862,71.4954482,15.398,13.136,9.33,6.941,0.042,0.028,0.042,0.098,26.0,39.2,26.0,11.0,117.0,176.0,AAAA,2.262,9.33,15.398,1019.2,3.7856367,1.4949906,-0.30859298,13.290803,0,0,1.892272,-1.2374979,-0.102442466,12.142749,0,1,1.5793566,-1.2972002,-0.3989568,10.578172,1,1,1,1,0,4,26.581605911254883,211.3409567499873,38.60712442550659,0,999.9,142.15506751873644,21.157969918190577,True
J224550.35-031355.2,341.4598082,-3.2320073,14.953,12.897,8.364,6.264,0.036,0.029,0.025,0.061,30.6,37.7,43.0,17.8,-123.0,-434.0,AAAA,2.0559998,8.364,14.953,1153.62,3.3586404,2.4291697,-0.041979596,13.677695,0,0,1.2222698,-2.6148868,-0.4743704,10.927709,0,1,0.8939344,-2.6204278,-0.8085769,9.286032,1,1,1,1,0,4,27.35539054870605,451.0931167730228,38.60392604811836,0,999.9,65.97873601064308,-51.642357377996916,True
J054110.02-830916.6,85.2917526,-83.1546199,15.991,13.756,8.946,7.119,0.04,0.028,0.023,0.069,26.8,38.9,48.2,15.7,156.0,261.0,AAAA,2.2350006,8.946,15.991,1042.52,3.7296722,1.8663412,-0.66387826,13.32465,0,0,1.804458,-1.7850313,0.39318353,12.091094,0,0,1.4895216,-1.8232037,0.14689723,10.516412,1,1,1,1,0,4,26.64929962158203,304.06742673295344,38.561539750345155,0,999.9,295.4671772482797,-28.99616871803003,True
J021741.76-233000.0,34.4240238,-23.5000202,16.484,14.176,9.15,6.734,0.066,0.04,0.028,0.072,16.5,26.9,38.6,15.1,103.0,-40.0,AAAA,2.3079996,9.15,16.484,443.85,3.880984,1.6690615,-0.95924956,13.187295,0,0,2.0418823,-1.4941548,0.80522907,12.588285,0,1,1.7324102,-1.5437648,0.6007005,11.040925,1,1,1,1,0,4,26.374589920043945,110.4943437466371,38.549098517169035,0,999.9,207.16983217546309,-70.19766202644885,True
J125818.02-294659.9,194.5750908,-29.7833235,14.843,12.797,8.367,5.773,0.033,0.025,0.02,0.042,33.4,43.6,53.2,25.8,-2.0,-55.0,AAAA,2.0460005,8.367,14.843,1456.24,3.337914,2.4262693,0.023924673,13.677072,0,0,1.1897477,-2.61061,-0.5663074,10.825202,0,1,0.860664,-2.6163194,-0.90983105,9.179784,1,1,1,1,0,4,27.354143142700195,55.036351623268054,38.54746125210743,0,999.9,304.70867577065866,33.06474861637438,True
J030923.76+231413.9,47.3490399,23.2372162,16.648,14.35,9.031,6.36,0.093,0.051,0.034,0.068,11.6,21.3,32.0,16.0,539.0,-71.0,AAAA,2.2980003,9.031,16.648,247.08,3.8602576,1.7841412,-1.057508,13.199476,0,0,2.0093603,-1.6638324,0.94230044,12.557575,0,1,1.6991397,-1.7067705,0.7516631,11.006474,1,1,1,1,0,4,26.39895248413086,543.6561413246428,38.53191262977455,0,999.9,159.69423649860767,-29.61335374253777,True
J014259.41-340105.6,25.7475679,-34.0182264,14.853,12.745,8.715,7.096,0.031,0.025,0.025,0.084,35.0,44.1,43.4,12.9,-119.0,-397.0,AAAA,2.1079998,8.715,14.853,1543.5,3.466426,2.089732,0.017933792,13.551809,0,0,1.3913964,-2.114407,-0.5579501,11.15438,0,0,1.0669535,-2.139628,-0.9006268,9.532166,1,1,1,1,0,4,27.10361862182617,414.4514446832101,38.530503148643334,0,999.9,247.93891077501894,-76.95536490427968,True
J044728.92+164127.8,71.8705194,16.6910573,15.922,13.517,9.924,7.123,0.057,0.034,0.062,0.107,19.0,32.4,17.5,10.2,206.0,421.0,AAAA,2.4049997,9.924,15.922,615.6,4.0820456,0.9205573,-0.62253803,13.004435,0,0,2.3573687,-0.39053196,0.33551356,13.005421,0,1,2.0551574,-0.4835382,0.08338283,11.494365,1,1,1,1,0,4,26.008869171142575,468.697130351787,38.51913368193,0,999.9,182.59778908481144,-17.93637341463115,True
J033428.88-341747.8,53.6203343,-34.2966149,14.918,12.747,9.045,7.062,0.028,0.023,0.024,0.064,38.4,46.7,45.8,17.0,71.0,-42.0,AAAA,2.1710005,9.045,14.918,1793.28,3.5970132,1.7706023,-0.021010082,13.425933,0,0,1.5963018,-1.6438704,-0.50362307,11.501703,0,0,1.2765749,-1.6875935,-0.8407941,9.903069,1,1,1,1,0,4,26.851865768432617,82.49242389456137,38.51094857027264,0,999.9,234.77034670669258,-54.473133061966806,True
J150418.68-134111.1,226.0778639,-13.686441,15.697,13.359,9.65,7.212,0.051,0.034,0.046,0.107,21.4,31.8,23.4,10.2,-624.0,-495.0,AAAA,2.3379993,9.65,15.697,680.52,3.9431674,1.1855319,-0.4877332,13.120067,0,0,2.1394544,-0.78122026,0.14745967,12.580602,0,1,1.832228,-0.85886407,-0.12372894,11.044471,1,1,1,1,0,4,26.24013328552246,796.4929378217989,38.5100159362141,0,999.9,345.41522185853165,37.98991873239487,True
J191712.29-393207.4,289.3012359,-39.535413,15.081,12.881,9.147,7.237,0.036,0.029,0.035,0.1,30.0,37.1,30.6,10.9,-96.0,-444.0,AAAA,2.2000008,9.147,15.081,1113.0,3.6571248,1.6719621,-0.11866859,13.360649,0,0,1.6906233,-1.4984313,-0.3673886,11.678372,0,0,1.3730671,-1.5478734,-0.6907533,10.090591,1,1,1,1,0,4,26.72129821777344,454.2598375379448,38.47867370900147,0,999.9,358.4133719578165,-21.54714498402596,True
J113637.96+540840.0,174.1581708,54.1444699,16.837,14.429,9.575,6.958,0.092,0.046,0.041,0.083,11.8,23.4,26.7,13.0,730.0,20.0,AAAA,2.408,9.575,16.837,276.12,4.0882645,1.258061,-1.1707435,12.981142,0,0,2.367127,-0.88816017,1.1002648,13.181013,0,1,2.0651402,-0.96159893,0.9256359,11.67108,1,1,1,1,0,4,25.96228408813477,730.2739212103908,38.46572010498048,0,999.9,144.78308918208123,59.69535481997346,True
J160500.52+615426.7,241.252204,61.9074431,13.417,11.566,7.876,5.371,0.024,0.021,0.017,0.028,45.8,52.5,62.5,39.1,190.0,-60.0,AAAA,1.8509998,7.876,13.417,2404.5,2.933718,2.9010952,0.87828666,14.031083,0,0,0.55552125,-3.3107114,-1.7581497,9.458083,0,1,0.21184094,-3.2888916,-2.2224576,7.7396817,1,1,1,1,0,4,28.062166213989254,199.24858845171275,38.45077902392143,0,999.9,94.21089470200991,42.886641494423664,True
J024945.49+221532.8,42.4395477,22.2591167,16.299,14.049,8.929,6.368,0.064,0.041,0.029,0.064,16.8,26.6,36.9,16.8,134.0,175.0,AAAA,2.25,8.929,16.299,446.88000000000005,3.760763,1.8827815,-0.84841055,13.25805,0,0,1.8532425,-1.8092713,0.65060765,12.183365,0,1,1.539429,-1.8464906,0.43040937,10.614297,1,1,1,1,0,4,26.51609992980957,220.41097976280582,38.44834489822387,0,999.9,155.90835608291516,-32.928390485404904,True
J222002.70+393201.3,335.0112616,39.5337222,15.291,13.146,8.762,7.2,0.054,0.027,0.027,0.099,20.0,40.2,40.2,10.9,-104.0,-502.0,AAAA,2.1450005,8.762,15.291,804.0,3.5431206,2.0442803,-0.24448626,13.451297,0,0,1.5117385,-2.0473912,-0.19187188,11.402767,0,1,1.1900653,-2.0752473,-0.49744925,9.794401,1,1,1,1,0,4,26.9025936126709,512.659731205797,38.44380896276608,0,999.9,93.65919247231041,-14.581828067120787,True
J095634.41+062806.3,149.1433957,6.468441,16.337,14.056,9.096,6.679,0.072,0.048,0.035,0.085,15.0,22.8,31.0,12.8,-188.0,115.0,AAAA,2.2810001,9.096,16.337,342.0,3.8250198,1.7212827,-0.8711776,13.185806,0,0,1.9540683,-1.5711515,0.6823679,12.34173,0,1,1.6425753,-1.6177341,0.4653883,10.784264,1,1,1,1,0,4,26.371612548828125,220.38375620721234,38.402342721035765,0,999.9,231.24040531835726,43.67238239303094,True
J100040.97+684603.7,150.1707364,68.7677034,16.621,14.232,9.581,7.027,0.067,0.038,0.036,0.088,16.2,28.7,29.7,12.3,-99.0,374.0,AAAA,2.389,9.581,16.621,464.94,4.048881,1.2522582,-1.0413312,12.983699,0,0,2.3053305,-0.8796042,0.91973364,12.989838,0,1,2.0019217,-0.9533794,0.7268093,11.472794,1,1,1,1,0,4,25.967397689819336,386.88111869151743,38.37462030601502,0,999.9,142.05425890462044,41.44832086088259,True
J163249.96-154314.4,248.2081766,-15.7206689,16.566,14.096,10.054,6.888,0.094,0.049,0.067,0.101,11.5,22.3,16.2,10.8,-37.0,-440.0,AAAA,2.4700003,10.054,16.566,256.45,4.216778,0.7948395,-1.0083789,12.834213,0,0,2.5687785,-0.20516883,0.87376475,13.425193,0,1,2.2714329,-0.30546385,0.6761818,11.938464,1,1,1,1,0,4,25.668426513671875,441.5529413331996,38.348630751531374,0,999.9,1.1458320149537722,21.318595923956966,True
J161016.06-033945.6,242.5669336,-3.6626851,14.421,12.339,8.795,5.965,0.052,0.026,0.03,0.056,20.8,41.8,36.1,19.5,-248.0,-249.0,AAAA,2.0819998,8.795,14.421,869.4399999999999,3.412533,2.0123672,0.27675873,13.532909,0,0,1.306833,-2.0003376,-0.9190131,10.835659,0,1,0.980444,-2.0300438,-1.2982808,9.203713,1,1,1,1,0,4,27.065818786621094,351.4327816240255,38.33602464673737,0,999.9,8.168444479572232,33.04119787973937,True
J221851.23-211314.6,334.7134631,-21.2207226,15.285,13.186,8.54,6.042,0.041,0.033,0.024,0.047,26.4,32.9,45.8,23.0,-250.0,-295.0,AAAA,2.099,8.54,15.285,868.56,3.447771,2.2589676,-0.24089116,13.490873,0,0,1.362125,-2.3639343,-0.19688709,11.087668,0,1,1.0370085,-2.3793433,-0.50297266,9.462087,1,1,1,1,0,4,26.981746673583984,386.6846260197061,38.30868392715454,0,999.9,34.14038809511059,-54.836366707997215,True
J140351.45-164806.6,210.964405,-16.8018359,13.408,11.419,8.701,6.224,0.025,0.022,0.027,0.045,43.6,50.2,40.4,24.0,25.0,12.0,AAAA,1.9890003,8.701,13.408,2188.7200000000003,3.2197645,2.1032708,0.88367873,13.697878,0,0,1.0043585,-2.1343691,-1.7656717,10.112013,0,1,0.6710081,-2.158805,-2.230742,8.445261,1,1,1,1,0,4,27.395755767822266,27.730849247724095,38.293789056007306,0,999.9,326.80543340673574,42.687847642878154,True
J013321.64+394548.7,23.3401958,39.7635399,15.292,12.932,9.991,7.538,0.034,0.026,0.04,0.105,32.0,42.2,27.0,10.4,-126.0,-57.0,AAAA,2.3599997,9.991,15.292,1350.4,3.9887695,0.855764,-0.24508506,13.004869,0,0,2.211009,-0.29499817,-0.19103655,12.521488,0,1,1.9054292,-0.39176098,-0.49652925,10.993589,1,1,1,1,0,4,26.00973892211914,138.2931668593933,38.28633413277504,0,999.9,131.63066129536554,-22.399050261125176,True
J203130.30-262759.5,307.8762747,-26.4665363,15.066,13.008,8.409,6.392,0.038,0.03,0.027,0.065,28.7,36.6,40.8,16.7,-204.0,-308.0,AAAA,2.0579996,8.409,15.066,1050.42,3.3627858,2.3856518,-0.10968141,13.557155,0,0,1.2287741,-2.5507226,-0.3799258,10.805493,0,1,0.9005886,-2.5587869,-0.704561,9.164565,1,1,1,1,0,4,27.11430931091309,369.43199644860215,38.27455685414017,0,999.9,17.49373203317503,-32.69300716239379,True
J000350.57-275846.6,0.9607428,-27.9796186,14.102,11.966,9.252,7.015,0.026,0.022,0.03,0.097,41.3,48.6,35.8,11.2,80.0,-145.0,AAAA,2.1360006,9.252,14.102,2007.18,3.5244658,1.5704213,0.4678813,13.396911,0,0,1.4824672,-1.3487158,-1.1856307,11.02106,0,1,1.1601204,-1.4040447,-1.5919181,9.409326,1,1,1,1,0,4,26.793821334838867,165.60495161679194,38.24014502434059,0,999.9,25.574490612875742,-79.42080329624562,True
J060841.32+312452.2,92.1721748,31.4145035,14.967,12.849,8.802,5.679,0.04,0.027,0.034,0.046,27.2,39.6,31.9,23.8,326.0,54.0,AAAA,2.118,8.802,14.967,1077.12,3.4871542,2.0055978,-0.050367404,13.419493,0,0,1.4239215,-1.9903566,-0.46266934,11.080436,0,1,1.1002271,-2.0204551,-0.79569,9.461964,1,1,1,1,0,4,26.838985443115234,330.44212806480954,38.207979676818844,0,999.9,180.34481383343348,5.555851527465109,True
J002453.13+540955.5,6.2213827,54.1654342,14.624,12.539,8.76,6.696,0.034,0.024,0.024,0.062,31.5,44.4,45.9,17.6,81.0,17.0,AAAA,2.085,8.76,14.624,1398.6,3.418752,2.046214,0.15513498,13.480712,0,0,1.3165911,-2.0502427,-0.7493469,10.83052,0,1,0.9904267,-2.0779867,-1.1114203,9.199697,1,1,1,1,0,4,26.961423873901367,82.76472678623425,38.20433762931824,0,999.9,119.00819055993138,-8.503901065351487,True
J095909.57-730754.4,149.789897,-73.1317944,14.11,12.051,8.829,6.533,0.026,0.022,0.021,0.042,41.8,49.2,50.6,25.8,-376.0,36.0,AAAA,2.059,8.829,14.11,2056.56,3.3648593,1.9794868,0.46308857,13.526897,0,0,1.2320279,-1.9518574,-1.1789448,10.582202,0,0,0.9039172,-1.98347,-1.5845547,8.9416485,1,1,1,1,0,4,27.053794860839844,377.71947262485685,38.19454758453369,0,999.9,291.1300546270461,-14.341909089069476,True
J230709.85-315508.6,346.7910595,-31.9190714,14.773,12.621,9.076,6.881,0.033,0.026,0.034,0.107,32.7,41.8,32.4,10.2,-157.0,-291.0,AAAA,2.1519995,9.076,14.773,1366.86,3.557628,1.7406234,0.06586427,13.349684,0,0,1.5345024,-1.5996683,-0.6248135,11.219624,0,0,1.213353,-1.6451293,-0.9742663,9.613876,1,1,1,1,0,4,26.69936752319336,330.65087327875,38.19077263523903,0,999.9,14.696461553997885,-66.87606553371684,True
J094922.41-041816.2,147.3433974,-4.3045151,15.626,13.386,9.213,7.253,0.048,0.03,0.037,0.108,22.5,35.7,29.6,10.1,122.0,565.0,AAAA,2.2400007,9.213,15.626,803.2500000000001,3.7400365,1.6081362,-0.44519535,13.1871195,0,0,1.8207206,-1.404324,0.08811903,11.87468,0,1,1.5061585,-1.4574665,-0.18908331,10.301869,1,1,1,1,0,4,26.374238967895508,578.021625893011,38.18990171790615,0,999.9,241.3779909865649,35.98962033378008,True
J151615.31+112146.9,229.063829,11.3630371,15.978,13.68,9.396,6.788,0.05,0.034,0.031,0.06,21.6,31.6,35.2,18.2,-14.0,-53.0,AAAA,2.2979994,9.396,15.978,682.5600000000001,3.8602557,1.4311646,-0.65608925,13.0714245,0,0,2.0093572,-1.1433905,0.3823178,12.253027,0,1,1.6991366,-1.2067933,0.13493034,10.701923,1,1,1,1,0,4,26.14284896850586,54.817880294662984,38.158099217289276,0,999.9,15.180979121600453,52.552287941078525,True
J174554.06-483556.9,266.4752915,-48.5991409,13.455,11.589,8.022,5.807,0.026,0.023,0.022,0.045,41.4,47.6,49.5,24.1,-123.0,-248.0,AAAA,1.8660002,8.022,13.455,1970.64,2.9648106,2.7599041,0.8555196,13.889808,0,0,0.60430884,-3.1025338,-1.7263895,9.396872,0,0,0.26175138,-3.0889,-2.1874788,7.684085,1,1,1,1,0,4,27.77961540222168,276.82666056577716,38.14696898151543,0,999.9,343.0624033308243,-10.137567616606546,True
J061521.76-483617.7,93.8406812,-48.6049431,15.064,12.805,9.561,7.047,0.027,0.022,0.027,0.051,39.7,48.7,39.7,21.3,87.0,379.0,AAAA,2.2589998,9.561,15.064,1933.3900000000003,3.7794178,1.2715999,-0.10848324,13.13717,0,0,1.8825138,-0.90812224,-0.38159725,11.847285,0,0,1.5693738,-0.9807761,-0.7064019,10.281586,1,1,1,1,0,4,26.27433967590332,388.85730030436616,38.145085290502855,0,999.9,256.4611254857644,-25.741854964438964,True
J134030.35-333600.6,205.126494,-33.60019,15.969,13.671,9.404,7.025,0.049,0.036,0.037,0.078,22.1,30.5,29.6,13.9,-98.0,-550.0,AAAA,2.2980003,9.404,15.969,674.0500000000001,3.8602576,1.4234278,-0.6506972,13.065217,0,0,2.0093603,-1.131983,0.37479582,12.242961,0,0,1.6991397,-1.1958344,0.12664604,10.691857,1,1,1,1,0,4,26.130434036254883,558.6626889277644,38.13998308714367,0,999.9,314.5121050388763,28.165786821539527,True
J100745.44+183844.5,151.9393696,18.6457193,14.085,12.121,8.319,5.974,0.028,0.023,0.023,0.048,38.5,47.9,47.8,22.5,257.0,243.0,AAAA,1.9639997,8.319,14.085,1844.15,3.1679435,2.4726875,0.47806665,13.6909275,0,0,0.9230459,-2.679051,-1.1998394,10.038671,0,1,0.58782405,-2.682069,-1.6075667,8.362562,1,1,1,1,0,4,27.381855010986328,353.6919563688154,38.137446016390456,0,999.9,216.79652389282478,51.53462451123697,True
J172050.52+591512.1,260.210539,59.2533768,15.719,13.446,9.371,7.154,0.035,0.027,0.027,0.078,30.6,39.9,40.2,13.9,-132.0,-355.0,AAAA,2.2729998,9.371,15.719,1220.94,3.8084366,1.4553407,-0.5009143,13.107407,0,0,1.9280477,-1.1790367,0.16584739,12.050005,0,1,1.6159557,-1.2410378,-0.10347775,10.489546,1,1,1,1,0,4,26.214813232421875,378.74661714660897,38.13206627928833,0,999.9,87.98358648221327,34.54839434319005,True
J022434.21+084819.4,36.1425768,8.8054066,15.222,13.085,8.83,6.205,0.037,0.027,0.027,0.05,29.4,39.6,40.2,21.5,-134.0,-139.0,AAAA,2.137,8.83,15.222,1164.24,3.5265374,1.9785204,-0.20314603,13.344248,0,0,1.4857179,-1.9504324,-0.24954185,11.182484,0,1,1.1634458,-1.982101,-0.56096363,9.571124,1,1,1,1,0,4,26.688495635986328,193.07252523339514,38.09515867080688,0,999.9,158.30723281228686,-47.567549441017434,True
J143053.48-230909.1,217.7228599,-23.1525528,15.957,13.672,9.349,7.16,0.058,0.037,0.033,0.093,18.6,29.3,33.1,11.7,1.0,-221.0,AAAA,2.2849998,9.349,15.957,544.98,3.8333104,1.4766164,-0.64350754,13.071348,0,0,1.9670771,-1.2104063,0.3647662,12.14511,0,1,1.6558834,-1.2711738,0.11560002,10.589142,1,1,1,1,0,4,26.142696380615234,221.00226243185838,38.089907580848546,0,999.9,330.8261368658079,34.2759202231311,True
J151619.88+751216.9,229.082837,75.2047114,16.758,14.327,9.831,7.851,0.054,0.034,0.031,0.102,20.2,31.9,35.5,10.6,162.0,-351.0,AAAA,2.4309998,9.831,16.758,644.38,4.135938,1.0104934,-1.1234118,12.800142,0,0,2.441932,-0.523137,1.0342367,13.107234,0,1,2.141667,-0.610929,0.85291636,11.605908,1,1,1,1,0,4,25.600284576416016,386.5811687084615,38.0471419134581,0,999.9,111.7948659326703,38.62429155688094,True
J232539.24-343206.8,351.4135338,-34.5352342,14.408,12.338,8.804,6.037,0.029,0.023,0.025,0.04,37.2,46.4,43.8,27.0,174.0,-320.0,AAAA,2.0699997,8.804,14.408,1726.0800000000002,3.3876593,2.003664,0.28454718,13.453021,0,0,1.2678035,-1.987505,-0.92987806,10.630893,0,0,0.9405163,-2.017716,-1.3102468,8.994456,1,1,1,1,0,4,26.906042098999023,364.24716882907956,38.045141913622096,0,999.9,5.712050685556993,-70.20226196373102,True
J200713.97-370314.9,301.8082476,-37.0541585,15.816,13.523,9.463,7.095,0.047,0.034,0.037,0.105,23.2,31.9,29.3,10.4,194.0,-268.0,AAAA,2.2930002,9.463,15.816,740.0799999999999,3.8498936,1.3663713,-0.5590301,13.040207,0,0,1.9930978,-1.0478568,0.24691948,12.1392,0,0,1.682503,-1.1150161,-0.01418961,10.586226,1,1,1,1,0,4,26.08041381835937,330.84739684634064,38.04089263867553,0,999.9,3.948837278002917,-30.3580790628956,True
J174419.54+385839.2,266.0814384,38.977561,16.091,13.859,9.018,7.442,0.047,0.032,0.028,0.109,23.3,34.0,38.9,10.0,-213.0,-58.0,AAAA,2.2319994,9.018,16.091,792.2,3.7234514,1.7967134,-0.72379106,13.141633,0,0,1.7946967,-1.6823694,0.4767624,11.843119,0,1,1.4795357,-1.7245786,0.23894621,10.267314,1,1,1,1,0,4,26.283266067504883,220.75552088226468,38.01611288604713,0,999.9,64.50933238659783,29.11339465746011,True
J000534.85+405122.4,1.3952226,40.856227,14.755,12.679,8.702,6.476,0.04,0.025,0.024,0.063,27.4,43.8,45.1,17.1,247.0,-54.0,AAAA,2.0760002,8.702,14.755,1200.12,3.4000974,2.1023042,0.07664843,13.430397,0,0,1.2873199,-2.1329439,-0.63985753,10.717857,0,1,0.9604817,-2.157436,-0.9908349,9.083666,1,1,1,1,0,4,26.86079406738281,252.83393759541065,38.013396838591916,0,999.9,113.65366946544717,-21.187904377659212,True
J040437.27-011601.0,61.1553065,-1.2669602,13.633,11.817,7.698,5.419,0.026,0.022,0.019,0.037,41.0,48.5,56.7,29.1,88.0,238.0,AAAA,1.816,7.698,13.633,1988.5,2.8611705,3.0732317,0.74887395,13.942233,0,0,0.4416866,-3.564516,-1.5776178,9.10377,0,1,0.09538641,-3.5327163,-2.0236301,7.3722696,1,1,1,1,0,4,27.88446617126465,253.74790639530408,38.01210428466797,0,999.9,192.12702715809831,-37.01563122243085,True
J054927.22-233851.2,87.3634285,-23.6475798,16.572,14.265,9.242,6.649,0.082,0.043,0.033,0.063,13.2,25.0,33.3,17.2,48.0,466.0,AAAA,2.3070002,9.242,16.572,330.0,3.8789124,1.5800921,-1.0119739,12.994902,0,0,2.0386317,-1.3629748,0.87877995,12.341368,0,1,1.7290847,-1.4177431,0.68170524,10.793634,1,1,1,1,0,4,25.989803314208984,468.46558037917794,37.981499602977145,0,999.9,228.4670951802135,-23.62276249226014,True
J152230.55-013420.0,230.6273103,-1.5722226,14.288,12.212,8.914,6.343,0.028,0.024,0.026,0.052,38.6,46.0,41.5,20.7,-199.0,-301.0,AAAA,2.0760002,8.914,14.288,1775.6,3.4000974,1.8972877,0.3564429,13.402667,0,0,1.2873199,-1.8306599,-1.0301732,10.587618,0,1,0.9604817,-1.8670381,-1.4207062,8.953426,1,1,1,1,0,4,26.805334091186523,360.83514241270905,37.93490987806053,0,999.9,0.7859604170887524,43.69021867529272,True
J030830.13-392549.2,47.1255745,-39.4303464,15.016,12.847,9.143,6.962,0.03,0.024,0.025,0.074,36.7,44.6,44.0,14.7,-26.0,9.0,AAAA,2.1689997,9.143,15.016,1636.8200000000002,3.592866,1.675831,-0.07972472,13.21262,0,0,1.5897944,-1.5041358,-0.42171562,11.220909,0,0,1.2699176,-1.5533534,-0.7505859,9.621526,1,1,1,1,0,4,26.42523956298828,27.51363298439521,37.888506899898225,0,999.9,245.16334666310678,-59.06183496344875,True
J014414.32-092130.5,26.0596741,-9.3584731,16.699,14.36,9.391,7.24,0.079,0.043,0.034,0.093,13.8,25.4,32.1,11.7,34.0,-76.0,AAAA,2.3389997,9.391,16.699,350.52,3.945241,1.4360001,-1.088063,12.90166,0,0,2.142708,-1.1505201,0.9849248,12.497478,0,1,1.8355566,-1.2136425,0.7986071,10.96172,1,1,1,1,0,4,25.803319931030277,83.2586331859946,37.87411144656704,0,999.9,160.463101786511,-68.29314421851485,True
J054505.32-525205.1,86.2721937,-52.8681111,14.911,12.794,8.901,6.516,0.028,0.023,0.022,0.046,38.2,47.7,49.2,23.5,76.0,386.0,AAAA,2.1170006,8.901,14.911,1822.1400000000003,3.4850826,1.9098591,-0.016816178,13.30322,0,0,1.4206707,-1.8491956,-0.50947356,10.906256,0,0,1.0969017,-1.8848449,-0.8472375,9.287411,1,1,1,1,0,4,26.6064395904541,393.41072684917987,37.87160930582512,0,999.9,260.41412289117113,-31.12467234368462,True
J045349.19-380233.7,73.4549844,-38.0426977,16.48,14.148,9.452,6.698,0.06,0.038,0.032,0.056,18.1,28.8,33.4,19.4,351.0,356.0,AAAA,2.3319998,9.452,16.48,521.2800000000001,3.9307315,1.3770095,-0.9568532,12.900856,0,0,2.1199412,-1.0635422,0.80188614,12.3968725,0,0,1.8122656,-1.1300848,0.5970188,10.858494,1,1,1,1,0,4,25.80171203613281,499.9369960304998,37.83562949771667,0,999.9,241.40747046835267,-38.69153948928179,True
