designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,T_eff_K,SolidAngle_scale,filename,cluster,umap_x,umap_y,vote,lamost_match,lamost_class,lamost_subclass,lamost_teff,lamost_score,lamost_category,lamost_is_known_ir,lamost_temp_mismatch,ir_teff,legacy_match,legacy_mag_g,legacy_mag_r,legacy_mag_z,legacy_type,legacy_score,legacy_is_bright,legacy_is_faint,score,gal_l,gal_b,pm_category,galactic_region,est_distance_pc,kinematic_score,kinematic_flag
J115746.32+150551.9,179.4430055,15.0977705,13.65,11.941,8.859,7.039,0.026,0.023,0.03,0.108,42.4,48.2,35.8,10.0,145.0,183.0,AAAA,1.7089996,8.859,13.65,2043.68,2.639381,1.9504753,0.7386891,11.582545,0,0,0.09367514,-1.9090818,-1.5634099,5.1080155,0,1,-0.26063442,-1.9423764,-2.0079825,3.3364677,1,1,1,1,0,4,23.16509056091309,233.4823333787805,31.08291666142594,0,999.9,264.823106479168,3.6885458638628665e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2395.5001831054688,False,99.0,99.0,99.0,,0.0,False,False,107.4,254.17589049552518,72.66649636339686,high,halo,45.1791065049795,-10.0,HIGH_PM|HALO
J000300.44-221910.2,0.7518643,-22.3195223,13.456,11.539,7.821,5.951,0.026,0.021,0.019,0.053,42.4,51.4,55.7,20.4,-10.0,-393.0,AAAA,1.9170008,7.821,13.456,2179.36,3.0705242,2.9542832,0.85492027,14.497918,0,0,0.7701849,-3.389134,-1.7255534,10.614411,0,1,0.43144497,-3.3642304,-2.186558,8.9207115,1,1,1,1,0,4,28.99583625793457,393.1272058761642,40.11284451856048,0,999.9,256.55882706134247,1.1007335072825559e-16,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2291.499614715576,False,99.0,99.0,99.0,,0.0,False,False,107.4,53.92255101250171,-78.00503291816705,high,halo,26.832340904114016,-10.0,HIGH_PM|HALO
J222345.27-284104.4,335.9386529,-28.6845737,13.822,11.883,8.519,6.818,0.026,0.023,0.028,0.093,42.2,46.4,39.2,11.7,-204.0,-84.0,AAAA,1.9389992,8.519,13.822,1958.08,3.1161225,2.2792757,0.63563854,13.402919,0,0,0.8417332,-2.3938775,-1.4196535,9.402856,0,1,0.50464,-2.408109,-1.8496574,7.71739,1,1,1,1,0,4,26.805837631225582,220.6173157302028,37.20113717568084,0,999.9,282.37406218796866,3.8043923915078784e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2280.5004119873047,False,99.0,99.0,99.0,,0.0,False,False,107.2,21.41514620242388,-57.46483475518331,high,halo,47.813668532034214,-10.0,HIGH_PM|HALO
J163051.99+111410.9,247.7166507,11.2363685,13.805,11.921,8.275,6.576,0.026,0.022,0.023,0.059,42.1,49.1,47.8,18.6,-133.0,-190.0,AAAA,1.8840008,8.275,13.805,2067.11,3.0021222,2.5152388,0.64582336,13.425048,0,0,0.6628546,-2.74179,-1.4338614,8.990574,0,1,0.32164454,-2.7423413,-1.8653052,7.284524,1,1,1,1,0,4,26.850095748901367,231.9245566989404,36.96721612310272,0,999.9,281.3088264350752,4.814940124528528e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2307.999610900879,False,99.0,99.0,99.0,,0.0,False,False,107.1,26.951565586478935,36.25100638980232,high,halo,45.48256276477017,-10.0,HIGH_PM|HALO
J070309.70-333124.8,105.7904267,-33.5235725,13.88,11.932,8.47,6.683,0.026,0.021,0.021,0.089,42.0,51.8,51.9,12.2,323.0,460.0,AAAA,1.948,8.47,13.88,2175.6,3.1347792,2.3266613,0.60088855,13.495218,0,0,0.8710076,-2.4637446,-1.371177,9.609249,0,0,0.53458816,-2.475229,-1.7962682,7.927152,1,1,1,1,0,4,26.99043655395508,562.0756176885811,37.50591063537598,0,999.9,268.3321504387535,4.9493062006338384e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2276.000022888184,False,99.0,99.0,99.0,,0.0,False,False,107.0,244.46999790606014,-12.350605375935857,very_high,thick_disk,18.767089115392796,-30.0,HIGH_PM
J143046.35-025927.8,217.6931509,-2.9910653,13.997,10.629,6.104,4.495,0.026,0.02,0.015,0.024,42.0,55.2,71.9,44.4,-5.0,55.0,AAAA,3.368,6.104,13.997,2318.4,6.078146,4.6147246,0.5307904,25.687315,0,0,5.4894624,-5.837351,-1.2733895,37.207554,0,1,5.2593355,-5.71618,-1.6885706,36.05692,1,1,1,1,0,4,51.374629974365234,55.22680508593631,85.98058072509765,0,999.9,293.2347791353745,2.9567884520676633e-16,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,1152.7999877929688,False,99.0,99.0,99.0,,0.0,False,False,107.0,345.3083795509457,51.51747198156467,moderate,halo,191.00368363400528,5.0,HALO
J172400.49+271007.7,261.0020721,27.1688197,14.124,12.213,8.602,6.679,0.026,0.023,0.021,0.058,42.0,47.9,52.6,18.8,-175.0,-198.0,AAAA,1.9109993,8.602,14.124,2011.8,3.0580845,2.1990097,0.45470077,12.927468,0,0,0.7506655,-2.27553,-1.1672437,8.606047,0,1,0.41147637,-2.2944152,-1.5716678,6.9101024,1,1,1,1,0,4,25.854936599731445,264.25177388240934,35.73668974845768,0,999.9,250.18746926374027,6.042521788491292e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2294.5003509521484,False,99.0,99.0,99.0,,0.0,False,False,107.0,50.11607663441662,30.198065282673095,high,halo,39.91845750653349,-10.0,HIGH_PM|HALO
J141230.76+340136.8,213.1281935,34.0269093,13.868,12.086,9.012,7.281,0.026,0.023,0.025,0.093,41.9,48.2,42.9,11.7,36.0,42.0,AAAA,1.7819996,9.012,13.868,2019.58,2.7906947,1.8025154,0.6080782,11.683935,0,0,0.33110258,-1.690924,-1.3812066,5.868622,0,1,-0.017742656,-1.7327969,-1.8073142,4.124396,1,1,1,1,0,4,23.367870330810547,55.31726674375732,31.6961774472818,0,999.9,279.0373443426725,2.556111685588301e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2359.0002059936523,False,99.0,99.0,99.0,,0.0,False,False,106.9,59.490712998378534,71.27792446680897,moderate,halo,190.6913307126021,5.0,HALO
J141629.02+342726.0,214.12092,34.4572244,14.13,12.284,8.748,7.095,0.026,0.023,0.026,0.103,41.7,46.7,42.0,10.6,27.0,6.0,AAAA,1.8459997,8.748,14.13,1947.3900000000003,2.9233537,2.057819,0.45110568,12.307896,0,0,0.5392587,-2.0673532,-1.1622286,7.263037,0,1,0.19520412,-2.0944245,-1.5661443,5.542764,1,1,1,1,0,4,24.61579132080078,27.65863337187866,33.70393999949295,0,999.9,289.891786052315,2.754283341310638e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2327.000141143799,False,99.0,99.0,99.0,,0.0,False,False,106.7,60.05476347737539,70.37000114520569,low,halo,381.3826614252042,15.0,HALO|LOW_PM
J013357.89-703638.5,23.4912423,-70.6106995,14.19,12.182,8.825,7.258,0.026,0.023,0.023,0.106,41.6,48.2,46.5,10.2,158.0,-130.0,AAAA,2.0079994,8.825,14.19,2005.12,3.2591457,1.9833558,0.4151581,13.167629,0,0,1.0661519,-1.9575619,-1.1120814,9.712628,0,0,0.7342236,-1.9889501,-1.5109152,8.052988,1,1,1,1,0,4,26.33525848388672,204.60694025374605,36.91149513078461,0,999.9,309.9675604853347,1.9829459855384887e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2246.000289916992,False,99.0,99.0,99.0,,0.0,False,False,106.6,297.8645207123128,-46.09685486849825,high,halo,51.555060613629045,-10.0,HIGH_PM|HALO
