designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,w1_w2_color,T_eff_K,pmra_value,pmdec_value,pm_total,pm_angle,pm_class,n_epochs,baseline_years,rms_w1,rms_w2,chi2_w1,chi2_w2,trend_w1,trend_w2,is_variable,is_fading,variability_flag,variability_score,ps1_detected,rosat_detected,detection_count,detection_fraction,mag_mean,mag_std,mag_min,mag_max,mag_range,color_mean,color_std,if_score,xgb_score,lgb_score,ml_ensemble_score,improved_composite_score,rank,p_false_positive_proxy,golden_flag,neowise_parallax_mas,neowise_parallax_err_mas,parallax_snr,distance_pc,distance_err_pc
J093710.36-473613.5,144.2932013,-47.6037706,14.511,12.677,9.039,7.15,0.046,0.027,0.028,0.089,23.8,40.8,39.2,12.1,1.8339996,254.2897462239873,23.0,673.0,673.3929016554897,1.9573406298034728,VERY_HIGH,427,9.455883778507802,0.0753382229837324,0.0396297372801522,1.0165910927619586,0.8283215269359502,0.0005351517997727,0.0019504248962899,False,False,NORMAL,1.0701062727392374,False,False,0,0.0,14.511,0.0753382229837324,14.360323554032536,14.661676445967464,0.3013528919349291,1.8339996,0.0505748964586963,0.1846305073850109,0.1486828587467985,0.1359332373398461,0.1564155344905518,0.2706490076745245,35,0.0843584465509448,TOP_ML,,,,,
J013401.19+143639.5,23.5049749,14.6109978,14.246,12.142,8.608,6.713,0.029,0.023,0.025,0.064,38.0,46.3,44.2,17.0,2.104,253.68885173828647,-10.0,222.0,222.2251110923336,-2.5791475002834177,HIGH,362,10.274080854835688,0.0512856003819092,0.0631622174700013,2.126648858920817,1.858804179881981,0.0048246173029005,0.0065101697515326,False,False,NORMAL,2.609110589210869,False,False,0,0.0,14.246,0.0512856003819092,14.14342879923618,14.34857120076382,0.2051424015276381,2.104,0.0224136154397094,0.3010278832277802,0.2535016491311442,0.2514951290200439,0.2686748871263227,0.2675699249189244,36,0.0731325112873677,TOP_ML,26.806867844237694,11.236389046681886,2.385719089368286,37.30387323914668,15.636322568481589
J024127.61-334918.4,40.3650664,-33.8217929,15.171,12.93,8.638,6.945,0.033,0.026,0.024,0.07,33.3,41.6,44.8,15.5,2.2409992,280.28005555993576,-89.0,-140.0,165.89454481688057,-147.55529674078858,HIGH,385,9.677867036610715,0.0341495852313459,0.0235555920886713,9.848542579797773,10.658388915745784,-0.0019203272446965,-0.0033427684482605,True,False,VARIABLE,10.040575304267426,False,False,0,0.0,15.171,0.0341495852313459,15.102700829537309,15.239299170462692,0.136598340925385,2.2409992,0.0616785637065192,0.31304121711676,0.272636281347169,0.2538342462477067,0.2798372482372119,0.2649693232817771,37,0.0720162751762788,TOP_ML,54.91792702943754,12.637215510984444,4.34573003694541,18.20899028952736,4.19008777230128
J183905.95-571505.1,279.7748156,-57.2514194,13.046,11.209,7.74,5.848,0.024,0.021,0.018,0.045,44.6,51.4,59.4,24.0,1.8369999,254.1682303321605,-26.0,-197.0,198.7083289648424,-172.4815731205578,HIGH,462,7.654436253749968,0.054281874882604,0.0282127048611157,2.2536549772035883,2.4511165349854043,0.0066011660351032,-0.0003094732305904,False,False,NORMAL,2.913771580713909,False,False,0,0.0,13.046,0.054281874882604,12.937436250234793,13.154563749765208,0.2171274995304166,1.8369999,0.0696864479695316,0.3160451531484449,0.2454832255048834,0.2379636379804197,0.266497338877916,0.264382069274587,38,0.0733502661122084,TOP_ML,19.53222007294587,3.6632243425848063,5.331974852286482,51.19745713827496,9.601968980840228
J091413.07+724437.7,138.5544629,72.7438329,15.168,12.925,8.798,7.245,0.033,0.025,0.027,0.106,32.4,43.2,39.8,10.2,2.243,304.9950221580249,193.0,-8.0,193.1657319505714,92.37359580223666,HIGH,344,9.426094938462864,0.0259940718588844,0.0305792338876335,12.28146663283725,14.322588898102005,0.0065223475025242,0.0098865780005091,True,False,VARIABLE,12.933701383089677,False,False,0,0.0,15.168,0.0259940718588844,15.11601185628223,15.219988143717767,0.1039762874355396,2.243,0.0664096436239472,0.3027454375593362,0.2647620890670287,0.248677621554284,0.2720617160602163,0.2639094737468726,39,0.0727938283939783,TOP_ML,31.641650981530304,5.271762614401142,6.002100871365717,31.60391348048541,5.265475232390465
J054110.02-830916.6,85.2917526,-83.1546199,15.991,13.756,8.946,7.119,0.04,0.028,0.023,0.069,26.8,38.9,48.2,15.7,2.2350006,260.96692049367886,156.0,261.0,304.06742673295344,30.86680945113708,VERY_HIGH,489,9.146201368099758,0.0196126006809197,0.0396196758419462,2.196252870652421,2.037332428676756,0.0026512880918622,-0.0013504106483008,False,False,NORMAL,2.4613816798386416,False,False,0,0.0,15.991,0.0196126006809197,15.95177479863816,16.03022520136184,0.0784504027236803,2.2350006,0.057373466177458,0.2669455617366759,0.2363351226233844,0.2184219842114709,0.2405675561905104,0.2608889117849771,40,0.0759432443809489,TOP_ML,0.9195059892660212,2.765237147837883,0.3325233750692867,1087.540496390058,3270.5685612731763
J011130.84-260118.5,17.878536,-26.021813,14.631,12.654,9.07,7.317,0.03,0.025,0.031,0.102,36.4,42.6,35.5,10.7,1.9769993,273.004308114726,247.0,-420.0,487.24634426540337,149.54041718036387,VERY_HIGH,450,9.165602434798387,0.0543291717916395,0.0220549125702833,13.765724677385212,14.640031921180425,0.0101961608888005,0.0066460802490758,True,False,VARIABLE,14.785340766265264,False,False,0,0.0,14.631,0.0543291717916395,14.52234165641672,14.73965834358328,0.2173166871665586,1.9769993,0.0544757590327779,0.2211319986936322,0.1844885755968615,0.1683492528860167,0.1913232757255035,0.260228579617892,41,0.0808676724274496,TOP_ML,23.73909860353205,13.12667777280936,1.808462050672508,42.12459860844143,23.2930509063083
J104200.37-060111.5,160.5015682,-6.0198695,13.571,11.693,8.243,6.586,0.025,0.023,0.024,0.08,43.9,47.1,46.2,13.5,1.8780003,289.7384603554652,184.0,242.0,304.00657887618155,37.24683812544116,VERY_HIGH,422,10.22479765789996,0.0534636185170236,0.0471403097193009,1.2867880220465873,1.320967500343531,-0.0058972006036064,-0.0060924963090786,False,False,NORMAL,1.8765080824072309,False,False,0,0.0,13.571,0.0534636185170236,13.464072762965952,13.677927237034048,0.2138544740680963,1.8780003,0.0490107258069513,0.2787462275880142,0.2208874850445468,0.2006184307382345,0.2334173811235985,0.2589463009225036,42,0.0766582618876401,TOP_ML,34.041532615281035,7.771108705623519,4.380524569248024,29.375880672044307,6.706018927109241
J152010.51-093312.1,230.043816,-9.5533639,13.894,11.956,8.423,6.975,0.027,0.022,0.026,0.099,39.6,48.3,41.3,10.9,1.9379997,339.5297369198568,-181.0,-232.0,294.2532922500613,-142.03962776902915,HIGH,389,10.310189966210205,0.0637252038074902,0.0236355863353305,2.6438720497123085,3.085201528964361,0.0012448207423953,0.0026504950357833,False,False,NORMAL,2.768354123951845,False,False,0,0.0,13.894,0.0637252038074902,13.76654959238502,14.021450407614982,0.2549008152299628,1.9379997,0.0631708854534566,0.2748933443798468,0.2221520753430115,0.2168431737060911,0.2379628644763165,0.2588771135628052,43,0.0762037135523683,TOP_ML,45.39185621961362,8.784881783757873,5.167042350363483,22.03038349350217,4.263635170699233
J213213.86-610413.7,323.05776,-61.0704869,14.458,12.454,8.685,7.111,0.028,0.024,0.023,0.091,38.7,45.4,46.5,12.0,2.0039997,303.43287883993247,1.0,-341.0,341.0014662725074,179.83197766783357,VERY_HIGH,423,8.523199053150776,0.0405613626842113,0.0198796523700059,3.649522120373464,4.306782593248437,-0.0032268797479257,0.00305303662617,True,False,VARIABLE,3.972210095166038,False,False,0,0.0,14.458,0.0405613626842113,14.376877274631578,14.539122725368422,0.1622454507368438,2.0039997,0.046461055450119,0.2603585237174626,0.2157301749460852,0.1969885054937966,0.2243590680524481,0.2575181531963978,44,0.0775640931947551,TOP_ML,18.87226510271652,5.971443548877941,3.160419243394287,52.98781013075413,16.766069957808913
