designation,rf_prob,rf_pred,nn_prob,nn_pred,iso_score,iso_pred,iso_prob,cluster,distance_to_center,composite_score,weighted_score,rank,ra,dec,w1mpro,w2mpro,w1_w2_color
J034124.18-395603.6,0.08418283677107212,0,0.05936050725921798,0,0.17749890789772194,1,0.2235108627829155,3,124.7340825010749,0.12235140227106851,0.11689875005678332,677.0,,,,,
J022127.51+610526.4,0.011562709512709515,0,0.0026880574640738455,0,0.12033229901620213,1,0.38862648000121053,7,127.1165480439652,0.13429241565933128,0.11675960049552818,678.0,,,,,
J073651.51-244257.1,0.005334099234099234,0,0.0011510044413052436,0,0.11656735651815353,1,0.3995008490869312,7,215.74797196373368,0.13532865092077856,0.11675800067982436,679.0,,,,,
J041412.29+280837.0,0.0018745254745254746,0,0.00020936290087092527,0,0.11449153677639767,1,0.40549648648085646,7,165.00181741369923,0.1358601249520843,0.11671932502671875,680.0,,,,,
J235845.87-462455.8,0.010332034632034633,0,9.026998897283261e-08,0,0.1188533171848748,1,0.39289825687782004,5,197.98277670638006,0.1344101272599479,0.11668468545596027,681.0,,,,,
J091130.70-345004.3,0.0004857142857142857,0,0.00037953163168122,0,0.1139049361825557,1,0.40719077832373235,0,447.68911558096687,0.13601867474704263,0.11665682325256714,682.0,,,,,
J154535.85+364407.3,0.08330655227125816,0,0.06323530203522734,0,0.17869333588195047,1,0.22006096925770322,3,71.97650599877635,0.1222009411880629,0.11664459991423366,683.0,,,,,
J094555.99-730543.9,0.015646364746364744,0,0.07338017259260993,0,0.14724122780858123,1,0.3109048086765163,3,122.22018497828881,0.1333104486718303,0.11650129382533525,684.0,,,,,
J061532.15-681619.6,0.0010205128205128203,0,1.2041372664205263e-05,0,0.11424849497896905,1,0.406198469634614,4,128.38940580469026,0.13574367460926368,0.11649750863944211,685.0,,,,,
J030625.66-401733.7,0.10371869901684146,0,0.006915552847156043,0,0.1700081124067208,1,0.24514669784733376,3,186.26121238547657,0.11859364990377708,0.11646865691992914,686.0,,,,,
J023533.75-082626.8,0.11239244138214728,0,0.07354120926167208,0,0.1977122363854839,1,0.16512824617170196,3,95.06145957565923,0.11702063227184045,0.11635946214474142,687.0,,,,,
J165059.62-260320.2,0.007619241869241869,0,1.0632978942897358e-08,0,0.11787100546280505,1,0.3957354901764834,5,351.22812894799284,0.1344515808929014,0.1163326753180929,688.0,,,,,
J024327.38-652450.1,0.0024913419913419914,0,2.2606957356568468e-05,0,0.11524766254278929,1,0.4033125512246799,6,472.0624388180245,0.13527550005779282,0.11630633461972842,689.0,,,,,
J073143.93-191804.3,0.0064348595848595855,0,1.4809848350243084e-05,0,0.11768758867539075,1,0.39626525705709154,4,191.89413081232482,0.13423830883010046,0.11598067322363748,690.0,,,,,
J134749.09-383219.1,0.02325669885669885,0,0.0010870777276482883,0,0.12683774352037586,1,0.3698366566130114,1,245.10796521240536,0.13139347773245283,0.11594536646448798,691.0,,,,,
J080223.28+640715.5,0.07584870188291241,0,0.0008085930661821057,0,0.15409879345792948,1,0.29109794577244175,7,186.42199401739333,0.12258508024051208,0.115908454760855,692.0,,,,,
J013417.53+660155.6,0.004553124653124654,0,1.3271083196263917e-08,0,0.116891469388675,1,0.3985647065080446,4,283.20813693788523,0.13437261481075083,0.11582697335966137,693.0,,,,,
J144815.01+063457.6,0.0018818181818181818,0,0.022452578025325014,0,0.12335052064678431,1,0.37990888178809895,0,149.08101492607676,0.13474775933174737,0.1157669105960432,694.0,,,,,
J111410.50-283209.8,0.012247551425182999,0,1.3704450863640874e-05,0,0.1209789116119745,1,0.38675885412762834,8,100.42423799293624,0.13300670333455833,0.11575539591893327,695.0,,,,,
J185658.37+065048.4,0.01363480016715311,0,4.728831663196675e-06,0,0.12186282589777264,1,0.3842058243831124,5,142.5986430161453,0.13261511779397625,0.11561792956157294,696.0,,,,,
J224207.84-244922.7,0.0028383116883116885,0,5.752224836028504e-11,0,0.1165217810317799,1,0.39963248580126215,5,482.85357622069716,0.13415693251569868,0.1153971295403577,697.0,,,,,
J025609.42+694303.6,0.005384698634698635,0,1.4330187655793077e-10,0,0.11802215746385536,1,0.39529891441249276,5,452.02004627826767,0.13356120439683108,0.11525027500224073,698.0,,,,,
J141613.00-820802.7,0.00015384615384615385,0,3.427940533452186e-11,0,0.1154188551594374,1,0.4028180916946481,9,231.3600758911011,0.1343239792942579,0.1151568174170562,699.0,,,,,
J151619.88+751216.9,0.0062061993561993555,0,0.005772636538472257,0,0.12063755862479986,1,0.38774479172773096,2,128.693791515291,0.13324120920746754,0.11509335065728635,700.0,,,,,
J033417.36+150200.4,0.0021666666666666666,0,0.00012932849650651882,0,0.1166003844728064,1,0.3994054536939795,6,490.8123697604358,0.13390048295238424,0.11508136634013887,701.0,,,,,
J050032.69-391958.7,0.0,0,1.6917754284851035e-07,0,0.11544178538053329,1,0.4027518618152958,4,249.25186194026466,0.1342506769976129,0.11507200885509676,702.0,,,,,
J075042.67-261238.4,0.03942880513878965,0,0.0001408225492118003,0,0.13604357138019402,1,0.3432472545333889,8,225.28549434840184,0.1276056274071301,0.1150089385116529,703.0,,,,,
J005140.63+231727.4,0.01377298028768617,0,0.0622679588348514,0,0.1444350970352472,1,0.3190098200406604,3,78.9268043069105,0.13168358638773267,0.11483921408772603,704.0,,,,,
J060738.02-065403.2,0.001,0,0.00027871727607863835,0,0.11638228941076101,1,0.4000353826242843,7,173.79554374765144,0.13377136663345432,0.11480402854296083,705.0,,,,,
J065829.11-013624.1,0.020816278166278162,0,1.52789973660108e-05,0,0.12667892995205793,1,0.37029536145607467,4,197.35969744804885,0.13037563953990627,0.11472430220081654,706.0,,,,,
J042516.09-541734.7,0.003284892884892885,0,0.06687334006096922,0,0.14074101542791712,1,0.32967952000332934,3,108.8923552850347,0.1332792509830638,0.11470862839761083,707.0,,,,,
J235046.21+654322.8,0.05541820369173307,0,0.06131804818372254,0,0.1659753677894361,1,0.2567945658876921,3,63.879524790019715,0.12451027258771591,0.11463997703114694,708.0,,,,,
J111408.79+480323.7,0.008114646464646463,0,2.429532523038889e-05,0,0.12041029419846028,1,0.38840120474156903,8,172.12753826198855,0.1321800488438153,0.11445641993250545,709.0,,,,,
J150515.66+141351.2,0.0,0,4.7992629935920935e-12,0,0.1162522608058838,1,0.4004109472024602,9,362.03239291817556,0.13347031573575316,0.1144031277735027,710.0,,,,,
J152628.43+470901.6,0.00926954711954712,0,0.0023107073276500962,0,0.12207556811750375,1,0.3835913561890641,1,210.88308235144402,0.13172387021208712,0.11423039548458139,711.0,,,,,
J003734.19+402230.2,0.0,0,5.9258102244785955e-05,0,0.11651696785873311,1,0.39964638779849354,8,262.15634572129187,0.1332352153002461,0.11420161311449666,712.0,,,,,
J152731.29+410640.5,0.1409429098679099,0,0.048950675725847013,0,0.20666339817858093,1,0.13927440188733653,3,50.36432422375106,0.10972266249369782,0.11418269783287095,713.0,,,,,
