rank,designation,ra_value,dec_value,w1mpro_value,w2mpro_value,w1_w2_color,pm_total,ml_ensemble_score,if_score
351,J084642.45+643656.1,131.6768866,64.6156103,16.946,14.683,2.2630000000000017,386.67428153421326,0.2787073969826764,-0.0014167192899879888
352,J165014.74+585719.0,252.5614409,58.9552904,17.101,15.427,1.6739999999999995,359.0055709874152,0.27820880983702706,-0.0016166593800553408
353,J153655.50-090930.9,234.2312863,-9.1585944,15.93,13.672,2.257999999999999,762.7581530209952,0.2781726119461037,-0.0016311752167242344
354,J024550.96-000330.3,41.4623349,-0.0584221,15.585,13.106,2.479000000000001,138.19189556555045,0.2777283921647815,-0.0018093132691435199
355,J023727.69-264315.5,39.3653799,-26.7209772,16.99,15.336,1.6539999999999981,220.62864727863425,0.27749659079801675,-0.0019022687064288446
356,J011643.46-502229.4,19.1810918,-50.3748416,16.975,14.852,2.123000000000001,497.3047355495421,0.2772904562967411,-0.0019849313885911823
357,J072445.32+343952.7,111.1888465,34.6646465,16.698,14.478,2.2200000000000006,997.0160480152764,0.2765667118070083,-0.0022751625743038795
358,J194312.48-210315.5,295.8020309,-21.0543299,13.221,11.421,1.8000000000000007,234.05341270744162,0.2763025582621488,-0.0023810916661621273
359,J200444.39+573247.1,301.184981,57.5464444,16.964,14.957,2.006999999999998,855.5816734830171,0.27615617295274575,-0.00243979412610712
360,J015907.09-575547.2,29.7795711,-57.9297994,16.897,15.236,1.6609999999999978,578.6233662755074,0.2759101979689482,-0.002538433372714144
361,J032256.21-360809.6,50.7342302,-36.1360202,16.606,14.17,2.4360000000000017,83.3606621854697,0.27570847552013467,-0.002619326763039831
362,J001058.77+515219.7,2.7449093,51.8721527,14.526,12.26,2.266,55.57877292636101,0.27567545945858274,-0.0026325666437266304
363,J052747.14-105916.1,81.9464532,-10.9878105,15.856,14.343,1.513,578.6968118108134,0.2752092714393526,-0.002819514252317301
364,J104715.71-733511.3,161.8154951,-73.5864808,16.892,14.55,2.3419999999999987,83.2586331859946,0.27510359477143276,-0.0028618920045042073
365,J101955.59-864308.4,154.9816324,-86.7190116,12.734,11.063,1.6709999999999994,312.4771991681953,0.2750577522597569,-0.0028802754626285343
366,J154402.08+201609.0,236.0087006,20.26919,17.043,15.139,1.904,276.0163038662753,0.27497077952628424,-0.002915152687835154
367,J034159.89+435234.6,55.4995562,43.8762903,14.454,12.233,2.221,927.2114106286656,0.27490515310409464,-0.002941469757735349
368,J003203.08-374730.6,8.0128507,-37.7918441,16.47,14.794,1.6759999999999984,607.6742548438267,0.2747808888932716,-0.002991301362342269
369,J034809.69-510436.6,57.0404055,-51.0768426,17.224,15.055,2.1690000000000005,138.43771162512041,0.27453893681211355,-0.003088327371377708
370,J154950.96+184804.4,237.4623673,18.801228,14.91,12.476,2.4339999999999993,402.7331622799394,0.27410937676796376,-0.0032605866738207867
371,J133059.33-110528.8,202.7472392,-11.091361,16.41,13.923,2.487,82.46211251235322,0.27361134602264253,-0.003460303639941431
372,J004504.22+103123.6,11.2676003,10.5232404,14.866,12.573,2.2929999999999993,867.2306498273686,0.27326199474968055,-0.0036003981561973375
373,J101903.40-161051.2,154.7642012,-16.1808894,16.078,13.586,2.491999999999999,386.00129533461416,0.27270880532858194,-0.0038222344864033975
374,J003331.16+562112.2,8.3798469,56.3533987,15.901,13.512,2.3889999999999993,27.018512172212592,0.2715423445556592,-0.00429000080174724
375,J070041.16-475308.7,105.1715238,-47.885765,15.34,13.736,1.6039999999999992,893.3039796172409,0.27144514213712634,-0.004328980266993798
376,J062541.79-231848.7,96.4241415,-23.3135328,16.767,15.176,1.5909999999999993,939.1618603840341,0.27096410526237297,-0.004521882464539717
377,J171020.86+674947.9,257.5869482,67.8299843,16.923,14.798,2.1249999999999982,246.13207836444238,0.27078056470411865,-0.00459548467444143
378,J160034.56+161132.3,240.1440279,16.1923168,16.791,14.523,2.2680000000000007,579.6386805588461,0.2705962360814913,-0.004669402908659248
379,J235136.79-301546.7,357.9033151,-30.2629936,13.964,12.352,1.612,193.04144632694815,0.2704668289265231,-0.004721296902408356
380,J115243.16+674524.4,178.1798561,67.7567825,15.278,12.81,2.468,589.1222284042591,0.27024617413264246,-0.004809782415416963
381,J065637.49-180502.3,104.1562198,-18.0839798,14.768,12.397,2.3710000000000004,493.9635614091388,0.2700914695359297,-0.004871821020444145
382,J025302.53-355925.1,43.2605757,-35.9903202,17.134,15.49,1.6440000000000001,387.3938564303776,0.26981194772563016,-0.004983912991556427
383,J102658.89-503459.7,156.7453895,-50.5832611,15.357,12.86,2.497,458.0010917017557,0.26976623259921473,-0.005002245366493685
384,J074240.05-703939.4,115.6669119,-70.6609678,16.227,13.812,2.415000000000001,193.49418595916518,0.26974923020195646,-0.005009063554384907
385,J014253.08+334950.3,25.7211857,33.8306659,16.267,13.915,2.3520000000000003,137.5245432641025,0.269412676044749,-0.005144026256676315
386,J052208.61-714106.6,80.5359148,-71.6851862,15.204,13.682,1.5220000000000002,80.0812087820857,0.26910250165593047,-0.005268410320281081
387,J165854.51+245705.6,254.7271434,24.951558,16.662,14.87,1.7919999999999998,940.2127418834526,0.26892506357695567,-0.0053395653546640665
388,J063738.01-660604.7,99.4083965,-66.1013148,17.431,15.589,1.8420000000000005,110.3177229641729,0.2685629053559145,-0.0054847956277777055
389,J181114.45+412117.5,272.8102371,41.3548859,16.623,14.968,1.6550000000000011,524.9761899362675,0.2684822184003783,-0.0055171521722613415
390,J232315.11-362856.6,350.8129905,-36.4824001,15.93,14.374,1.5559999999999992,303.20455141702604,0.26846849044295473,-0.005522657266140429
391,J205749.15+670113.4,314.4548179,67.020407,14.707,13.185,1.5220000000000002,27.202941017470888,0.2678647242481772,-0.005764775556627466
392,J070412.64-764736.5,106.0527031,-76.7934901,16.875,15.296,1.5790000000000006,523.7833521600319,0.2677199829272267,-0.005822818755293613
393,J010255.23-603030.0,15.7301391,-60.5083464,16.715,14.953,1.7620000000000005,856.5518081237118,0.267227078984204,-0.00602047980536774
394,J235845.87-462455.8,359.6911598,-46.4155153,16.345,14.112,2.2329999999999988,661.2389885661613,0.26719191222788896,-0.006034582143316813
395,J041027.82-474025.2,62.615945,-47.673689,17.32,15.528,1.7919999999999998,109.41663493271945,0.2671319573409587,-0.006058624851993544
396,J182601.74+651557.0,276.5072632,65.2658529,16.767,14.503,2.2639999999999993,302.88776799336085,0.26687697291937995,-0.006160877003219434
397,J145727.27+501835.4,224.3636387,50.3098465,17.124,15.252,1.871999999999998,248.2438317461282,0.2668397426266933,-0.006175806846754228
398,J021436.16-715908.0,33.6506696,-71.9855765,17.01,15.167,1.8430000000000017,690.5896031652952,0.26677830237720557,-0.006200445205611915
399,J154514.44+200622.6,236.3102072,20.1063019,17.119,15.122,1.9969999999999999,470.3806968828547,0.26672098334933647,-0.006223430899677085
400,J144103.40+071004.7,220.264191,7.1679816,16.265,14.067,2.1980000000000004,248.45321491178174,0.26590324027569545,-0.006551356770254424
401,J065838.90-722315.2,104.6620963,-72.3875605,17.057,14.818,2.238999999999999,496.9557324349926,0.2657117635878015,-0.006628141473906279
402,J134226.36-413213.1,205.6098363,-41.536982,16.863,14.674,2.189,913.641614638913,0.2656558844684348,-0.006650549745472356
403,J150515.66+141351.2,226.3152869,14.2309157,16.873,15.033,1.8400000000000016,629.8587143161552,0.26556930681239294,-0.00668526853936402
404,J063242.93-643008.4,98.1789144,-64.502357,17.252,15.497,1.754999999999999,110.07270324653611,0.2654388580257466,-0.006737580241297836
405,J180036.84+121841.3,270.153503,12.3114983,13.812,12.253,1.5589999999999993,262.9676786222976,0.26505303293003807,-0.0068923012465610944
406,J181503.79-663335.2,273.7658302,-66.5597912,13.215,11.68,1.5350000000000001,195.47378340841516,0.26480915501714003,-0.006990099539789796
